mac,Latitude,Longitude,Altitude,Description
e4:b3:18:c3:63:ec,32.108656,34.805024,0,
e4:b3:18:c3:63:e2,32.108685,34.80497,0,
e4:b3:18:c3:62:a2,32.108789,34.805044,0,
e4:b3:18:9f:bf:be,32.108811,34.805134,0,
e4:b3:18:9f:bf:b9,32.108916,34.805137,0,
e4:b3:18:9f:bf:aa,32.108875,34.805221,0,
e4:b3:18:9f:bf:9b,32.108922,34.805317,0,
e4:b3:18:9f:c1:94,32.108779,34.805221,0,
e4:b3:18:9f:c0:4f,32.108862,34.805421,0,
e4:b3:18:9f:c0:31,32.108791,34.805367,0,
e4:b3:18:c3:62:d9,32.108727,34.805317,0,
